,node,timestamp,dataset,opt,opt1,neighbors,opChange,orientation,neighborsOps,error,estOp,openMindedness,nactiveint
0,020b020a585a564b52545552,0,euro2020,0.9444444444444443,0.9444444444444443,"['7c525a55565a49090d0a0f0e020a0c', '7a49565455525448527a58585e554f', '5752595e495a4f5255525854', '5456594942485a55', '765a494f52555a020e0a020b0d0e02', '774e585e7853525a495a0a090a0a', '565a49525a565a4952574e585e55', '484f495a555c5e645f5a4248640309', '625264795e555e4d54575e55585e', '765a49585e57570c0c0d0f0b0f030c', '5852554152544f4f5a0c08']",0.0,Republican,"[0.9411764705882352, 0.9313725490196078, 0.9682539682539683, 1.0, 1.0, 1.0, 0.8796296296296297, 0.8733333333333334, 0.873015873015873, 0.8472222222222223, 0.7777777777777778]",0.0,0.9444444444444443,0.0,0
1,020c0a0d0a0b5e,0,euro2020,1.0,0.6666666666666666,['7c5254495c5254575a4b54494f5a'],-0.33333333333333337,Republican,[1.0],0.33333333333333337,1.0,0.0,0
2,020e0b7a574b5a,0,euro2020,0.3333333333333333,0.3333333333333333,['565a5f5f5a575e555a090f0c0a'],0.0,Democrat,[0.5],0.0,0.3333333333333333,0.0,0
3,030b724d52,0,euro2020,0.0,1.0,['4b5a484a4e525554090b0b0b'],1.0,Democrat,[1.0],0.5,0.5,1.0,1
4,030b7a52495a485469030b,0,euro2020,0.3333333333333333,0.3333333333333333,"['7c5e55785a490e', '6f5a4f5a435a0d']",0.0,Democrat,"[0.3333333333333333, 0.75]",0.0,0.3333333333333333,0.0,0
5,035d54584f5f490d0c,0,euro2020,0.9696969696969697,0.4166666666666667,"['5d495a4f544f54575409', '5a4f4f52575a48584e54575a', '5a554f54645c5a5757520f', '7c7a555c4952575752', '724f5a5752585a6f5e484f4e5f54', '7c5254495c5254575a4b54494f5a', '565a49585e57570a0d03020e090c0e', '7a777d740a0b0b03020c', '774e585e7853525a495a0a090a0a', '7e55505209090c0b', '7c52544d427f5e5a55', '5f54574e5858525a0a0d']",-0.553030303030303,Republican,"[0.95679012345679, 0.9444444444444443, 1.0, 1.0, 1.0, 1.0, 0.9, 0.9, 0.8762626262626263, 0.873015873015873, 0.8263888888888888, 0.8229166666666666]",0.423049712934153,0.8397163796008197,0.1467803030303031,0
6,03645d5e494954,0,euro2020,0.7160493827160493,0.3333333333333333,"['5d495a4f544f54575409', '765a4f4f5e534c685856', '5a4e48594e495c5e', '484f495a555c5e645f5a4248640309', '625264795e555e4d54575e55585e', '6b4954595a595257565e554f5e72', '79575a58506464647a5f5a56']",-0.38271604938271603,Republican,"[0.7222222222222222, 0.7777777777777778, 0.8333333333333334, 0.9, 0.9682539682539683, 1.0, 0.3333333333333333]",0.3100460207231041,0.6433793540564374,0.38271604938271603,1
7,090b0a0f7654555a5854,0,euro2020,0.9434343434343434,0.861111111111111,"['7c525a55565a49090d0a0f0e020a0c', '5a64565e574e414152', '5d495a4f544f54575409', '5154594c524f5352554f5e49555e4f', '524f5a57525a55524f4c5e5e4f', '765e4f5a577c5e5a496f545542030f', '5e494b5e5f49525552', '7e485e4958524f5478494e58525a55', '61615257525a5552', '7652505e4b4e590a', '6b795e4952414152', '504e515464485a', '5e575e555a645e57555649570a0e', '5d5a59495241525e4f4f540d0c', '7c5a594942030f0e03030f0f09', '5d5e5f5e495258545554485e505a52', '484e49484e565854495f5a0902', '7a49565a555f54785a4b54555e', '724f5a5752585a6f5e484f4e5f54', '685d550a020c0f', '5456594942485a55', '7a554f547552540302020209020303', '7c5254495c5254575a4b54494f5a', '6a4e544a4e5e646f4e6479494e4f5e', '595e554a645a554f54555254', '765a4941525a6476', '575a5854495f5a584e495a', '6b5a4f4952544f5a64726f7a64', '765e555e5c5a414152765a4952555a', '0a765a4941525a09', '75525854575e0b020d080a0a', '4f495a5f544952', '584e54495e524f5a57525a55540c', '74555e6b5255505e49', '625264795e555e4d54575e55585e', '684e4848527d5a595254', '685455547f5e484f4954', '090b0a0f7654555a5854', '5d495a5654554f5e485a554f54030f', '7a766f54565a4958535254', '765a50485652494f54', '5e55495258546b0909', '484f5e6974686874757e69', '55545952574f5a645652485e49525a', '5754495e5541535a4e48', '775a785a4b495a0202', '5c645e5d5d5e', '685a495a5854565e565e685a495a', '646b52484f524868544b53525a', '5e4e495a57575e495c525854', '5a495854595a575e55525e4f555e52', '724f5a72525a68544d495a555a', '766978644e4858726f7a', '565a49585e57570a0d03020e090c0e', '7a55555a565a49080e0f030d0c0f0b', '7652565654744c5a5248', '7a554f54555e570a0e0c0c080c0d0a', '5f5a5f5a555f0d02', '7d5a595254020b6f54484f52', '6d5e555e495e0c030a', '565a49525a565a4952574e585e55', '765a5558545552765a495854', '75525e4f414858535e0a020c08', '4f5e4f52595a0a', '5d64594e49575a', '5d5a59525a555403565a494154', '765a4f4f525a647741', '525f5e5a5f5e484f495a64', '7d4e5449525f5a4a4e5e484f5a6e5e', '7c6d756d757869', '6f5241525a555a7d5e49495a495254', '7c524e485e4b4b030b0c0b0d09080d', '6d54574b52555a0d0c0b0f0d0c0a08', '7a575e43584f02', '75525854575a795e57574e', '765a4952546852080d030c0e0c0809', '774e585e7853525a495a0a090a0a', '6954594268525654030b', '4954595e494f5a645d5a485a5552', '585a49565e554f4b5d', '5852554152544f4f5a0c08']",-0.08232323232323235,Republican,"[0.9434343434343434, 0.9444444444444443, 0.9411764705882352, 0.939484126984127, 0.9333333333333332, 0.9313725490196078, 0.9305555555555557, 0.9583333333333334, 0.9259259259259259, 0.9259259259259259, 0.9629629629629629, 0.9682539682539683, 0.9166666666666666, 0.9, 0.8916666666666666, 0.888888888888889, 0.888888888888889, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.8824289405684755, 0.8796296296296297, 0.8792270531400966, 0.8760683760683761, 0.875, 0.8741830065359477, 0.873015873015873, 0.8645833333333334, 0.8596491228070176, 0.8583333333333334, 0.8472222222222223, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8250000000000001, 0.8229166666666666, 0.8095238095238096, 0.7948717948717948, 0.7698412698412698, 0.7619047619047619, 0.75, 0.7314814814814815, 0.6758241758241758, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.4583333333333333, 0.4444444444444444, 0.4444444444444444, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.00042943993716626494,0.8615405510482773,0.08510101010101001,0
8,090b0b02775e57575e,0,euro2020,0.7777777777777778,0.5,"['7c525a55565a49090d0a0f0e020a0c', '7c5254495c5254575a4b54494f5a']",-0.2777777777777778,Republican,"[0.9313725490196078, 1.0]",0.2777777777777778,0.7777777777777778,0.0,0
9,0a020c0a64565249505a,0,euro2020,0.3333333333333333,0.3333333333333333,"['6b795e4952414152', '7a555f495e5a765a495a55540a0a', '565a4e495459525a5552', '4b5e4b4b5e030f0f']",0.0,Democrat,"[0.3333333333333333, 0.3333333333333333, 0.3833333333333333, 0.3888888888888889]",0.0,0.3333333333333333,0.0,0
