,node,openMindedness
0,020b020a585a564b52545552,0.0
1,020c0a0d0a0b5e,0.0
2,020e0b7a574b5a,0.0
3,030b724d52,1.0
4,030b7a52495a485469030b,0.0
5,035d54584f5f490d0c,0.1467803030303031
6,03645d5e494954,0.382716049382716
7,090b0a0f7654555a5854,0.08510101010101001
8,090b0b02775e57575e,0.0
9,0a020c0a64565249505a,0.0
10,0a020d026f54555c5e49,0.12070707070707072
11,0a020e02644c5257565a,0.0
12,0a020f030f030208,0.0
13,0a02565a495255540c0f,0.3055555555555556
14,0a08565a4952030a,0.0
15,0a0c7e5554565248,0.09999999999999998
16,0a0e0a0a565a4352,0.3333333333333333
17,0a48545754585a4b524f5a55,0.16666666666666666
18,0a4f5a570a5a570a5908495a,0.0
19,0a765a4941525a09,0.0
20,0a7c6974686872,0.06862745098039225
21,0b0b0c6d5255585e554f434343,0.03333333333333338
22,0b0f785a49565e55090b,0.17361111111111116
23,0c085f5e4d5a0c08,0.11111111111111104
24,0c087449575a555f540c08,0.0
25,0c0a5754585a4f5e575752,0.0
26,0c0a7854554f52,0.09999999999999998
27,0c0e775e4f0a,0.0
28,0c0e7c52555542,0.0
29,0c0f64585a4b4b5e,0.29629629629629634
30,0c565a4951,0.3888888888888889
31,0c57540d0d,0.16666666666666666
32,0d097a55555a565a585a574e4854,0.34920634920634924
33,0d0b6458575a,0.04545454545454541
34,0d0e644d5249555a,0.5
35,0d0f6f5354565a,0.5059259259259259
36,0e0b0a644f544f,0.16666666666666666
37,0f0b0864484b5a494f5a55,0.16666666666666674
38,0f0e5a584b51545e,0.3333333333333333
39,0f495a5c5a4141520a7f,0.2500000000000001
40,0f6f58535a4f,0.23919753086419754
41,41524152545552585e,0.1333333333333333
42,415241544e030e,0.0
43,41524f4f545554555852484f54,0.6666666666666667
44,415e49525a554f52485248565a,0.5
45,415e4d4e555f5e4948505255,0.0
46,415e555c5a5754495e554154,0.0
47,415f5e555c54,0.16666666666666669
48,425e48525a565f51774e5248,0.0
